codigoEstudiante,nombreActividad,numerador,denominador,fechaEntrega
CARP01,Tarea1,18,20,2024-02-09
CARP01,Tarea2,16,20,2024-02-14
CARP01,Examen1,27,30,2024-01-29
CARP01,Proyecto,28,30,2024-02-28
CARP02,Tarea1,15,20,2024-02-11
CARP02,Tarea2,19,20,2024-02-14
CARP02,Examen1,28,30,2024-01-28
CARP02,Proyecto,26,30,2024-02-27
CARP03,Tarea1,18,20,2024-02-08
CARP03,Tarea2,18,20,2024-02-15
CARP03,Examen1,25,30,2024-01-31
CARP03,Proyecto,30,30,2024-02-25
CARP04,Tarea1,17,20,2024-02-10
CARP04,Tarea2,14,20,2024-02-16
CARP04,Examen1,18,30,2024-02-01
CARP04,Proyecto,22,30,2024-02-26
CARP05,Tarea1,20,20,2024-02-12
CARP05,Tarea2,20,20,2024-02-13
CARP05,Examen1,30,30,2024-01-28
CARP05,Proyecto,29,30,2024-02-29
CARP06,Tarea1,19,20,2024-02-09
CARP06,Tarea2,17,20,2024-02-14
CARP06,Examen1,26,30,2024-01-29
CARP06,Proyecto,25,30,2024-02-28
CARP07,Tarea1,16,20,2024-02-11
CARP07,Tarea2,18,20,2024-02-14
CARP07,Examen1,24,30,2024-01-28
CARP07,Proyecto,27,30,2024-02-27
CARP08,Tarea1,19,20,2024-02-08
CARP08,Tarea2,19,20,2024-02-15
CARP08,Examen1,29,30,2024-01-31
CARP08,Proyecto,28,30,2024-02-25
CARP09,Tarea1,14,20,2024-02-10
CARP09,Tarea2,13,20,2024-02-16
CARP09,Examen1,20,30,2024-02-01
CARP09,Proyecto,23,30,2024-02-26
CARP10,Tarea1,18,20,2024-02-12
CARP10,Tarea2,19,20,2024-02-13
CARP10,Examen1,28,30,2024-01-28
CARP10,Proyecto,27,30,2024-02-29
CARP11,Tarea1,17,20,2024-02-09
CARP11,Tarea2,16,20,2024-02-14
CARP11,Examen1,25,30,2024-01-29
CARP11,Proyecto,26,30,2024-02-28
CARP12,Tarea1,20,20,2024-02-11
CARP12,Tarea2,20,20,2024-02-14
CARP12,Examen1,30,30,2024-01-28
CARP12,Proyecto,30,30,2024-02-27
CARP13,Tarea1,15,20,2024-02-08
CARP13,Tarea2,16,20,2024-02-15
CARP13,Examen1,22,30,2024-01-31
CARP13,Proyecto,24,30,2024-02-25
CARP14,Tarea1,18,20,2024-02-10
CARP14,Tarea2,17,20,2024-02-16
CARP14,Examen1,26,30,2024-02-01
CARP14,Proyecto,25,30,2024-02-26
CARP15,Tarea1,19,20,2024-02-12
CARP15,Tarea2,18,20,2024-02-13
CARP15,Examen1,27,30,2024-01-28
CARP15,Proyecto,28,30,2024-02-29
CARP16,Tarea1,16,20,2024-02-09
CARP16,Tarea2,15,20,2024-02-14
CARP16,Examen1,23,30,2024-01-29
CARP16,Proyecto,24,30,2024-02-28
CARP17,Tarea1,20,20,2024-02-11
CARP17,Tarea2,19,20,2024-02-14
CARP17,Examen1,29,30,2024-01-28
CARP17,Proyecto,29,30,2024-02-27
CARP18,Tarea1,17,20,2024-02-08
CARP18,Tarea2,17,20,2024-02-15
CARP18,Examen1,24,30,2024-01-31
CARP18,Proyecto,26,30,2024-02-25
CARP19,Tarea1,18,20,2024-02-10
CARP19,Tarea2,16,20,2024-02-16
CARP19,Examen1,25,30,2024-02-01
CARP19,Proyecto,24,30,2024-02-26
CARP20,Tarea1,19,20,2024-02-12
CARP20,Tarea2,20,20,2024-02-13
CARP20,Examen1,28,30,2024-01-28
CARP20,Proyecto,28,30,2024-02-29
CARP21,Tarea1,15,20,2024-02-09
CARP21,Tarea2,14,20,2024-02-14
CARP21,Examen1,21,30,2024-01-29
CARP21,Proyecto,23,30,2024-02-28
