codigoEstudiante,nombreActividad,numerador,denominador,fechaEntrega
CARP01,Tarea1,9,10,2024-02-09
CARP01,Tarea2,8,10,2024-02-14
CARP01,Examen1,9,10,2024-01-29
CARP01,Proyecto,9,10,2024-02-28
CARP02,Tarea1,8,10,2024-02-11
CARP02,Tarea2,10,10,2024-02-14
CARP02,Examen1,9,10,2024-01-28
CARP02,Proyecto,9,10,2024-02-27
CARP03,Tarea1,9,10,2024-02-08
CARP03,Tarea2,9,10,2024-02-15
CARP03,Examen1,8,10,2024-01-31
CARP03,Proyecto,10,10,2024-02-25
CARP04,Tarea1,9,10,2024-02-10
CARP04,Tarea2,7,10,2024-02-16
CARP04,Examen1,6,10,2024-02-01
CARP04,Proyecto,7,10,2024-02-26
CARP05,Tarea1,10,10,2024-02-12
CARP05,Tarea2,10,10,2024-02-13
CARP05,Examen1,10,10,2024-01-28
CARP05,Proyecto,10,10,2024-02-29
CARP06,Tarea1,10,10,2024-02-09
CARP06,Tarea2,9,10,2024-02-14
CARP06,Examen1,9,10,2024-01-29
CARP07,Tarea1,8,10,2024-02-11
CARP07,Tarea2,9,10,2024-02-14
CARP07,Examen1,8,10,2024-01-28
CARP07,Proyecto,9,10,2024-02-27
CARP08,Tarea1,10,10,2024-02-08
CARP08,Tarea2,10,10,2024-02-15
CARP09,Tarea1,7,10,2024-02-10
CARP09,Tarea2,7,10,2024-02-16
CARP09,Examen1,7,10,2024-02-01
CARP09,Proyecto,8,10,2024-02-26
CARP10,Tarea1,9,10,2024-02-12
CARP10,Tarea2,10,10,2024-02-13
CARP10,Examen1,9,10,2024-01-28
CARP10,Proyecto,9,10,2024-02-29
CARP11,Tarea1,9,10,2024-02-09
CARP11,Tarea2,8,10,2024-02-14
CARP11,Examen1,8,10,2024-01-29
CARP11,Proyecto,9,10,2024-02-28
